TL54
1.00000	0.00000
0.99651	0.00014
0.98624	0.00081
0.96968	0.00233
0.94732	0.00482
0.91966	0.00827
0.88724	0.01261
0.85060	0.01774
0.81030	0.02350
0.76690	0.02970
0.72095	0.03617
0.67303	0.04269
0.62371	0.04908
0.57354	0.05510
0.52306	0.06055
0.47277	0.06525
0.42318	0.06904
0.37473	0.07176
0.32788	0.07331
0.28302	0.07358
0.24053	0.07253
0.20073	0.07014
0.16392	0.06642
0.13035	0.06143
0.10022	0.05529
0.07374	0.04820
0.05110	0.04034
0.03245	0.03194
0.01794	0.02325
0.00768	0.01457
0.00169	0.00623
0.00020	0.00189
0.00000	0.00013
0.00015	-0.00146
0.00071	-0.00295
0.00167	-0.00444
0.00413	-0.00704
0.01345	-0.01271
0.02774	-0.01761
0.04699	-0.02156
0.07121	-0.02448
0.10030	-0.02646
0.13400	-0.02760
0.17202	-0.02797
0.21398	-0.02771
0.25942	-0.02694
0.30782	-0.02575
0.35861	-0.02427
0.41119	-0.02257
0.46494	-0.02073
0.51920	-0.01883
0.57331	-0.01692
0.62661	-0.01505
0.67846	-0.01326
0.72822	-0.01155
0.77531	-0.00995
0.81914	-0.00847
0.85917	-0.00713
0.89490	-0.00588
0.92592	-0.00471
0.95184	-0.00361
0.97234	-0.00252
0.98727	-0.00137
0.99667	-0.00038
1.00000	0.00000
