S5010
     1.000000    0.000000
     0.996760    0.000010
     0.987070    0.000070
     0.971010    0.000360
     0.948700    0.001080
     0.920410    0.002560
     0.886670    0.005160
     0.848280    0.009030
     0.806080    0.014060
     0.760760    0.020080
     0.713070    0.026880
     0.663770    0.034200
     0.613550    0.041630
     0.562960    0.048770
     0.512470    0.055290
     0.462510    0.060930
     0.413460    0.065460
     0.365760    0.068730
     0.319690    0.070630
     0.275600    0.071130
     0.233830    0.070230
     0.194730    0.067990
     0.158600    0.064450
     0.125730    0.059680
     0.096370    0.053770
     0.078846    0.049281
     0.070710    0.046880
     0.062994    0.044378
     0.055713    0.041794
     0.048890    0.039150
     0.042530    0.036459
     0.036590    0.033691
     0.031020    0.030810
     0.025810    0.027816
     0.021125    0.024862
     0.017180    0.022140
     0.014122    0.019809
     0.011853    0.017892
     0.010214    0.016382
     0.009041    0.015244
     0.008159    0.014333
     0.007390    0.013480
     0.006593    0.012551
     0.005780    0.011562
     0.004999    0.010565
     0.004291    0.009601
     0.003654    0.008676
     0.003077    0.007785
     0.002552    0.006925
     0.002081    0.006103
     0.001670    0.005330
     0.001321    0.004613
     0.001030    0.003951
     0.000790    0.003342
     0.000595    0.002782
     0.000440    0.002269
     0.000319    0.001801
     0.000228    0.001377
     0.000160    0.000993
     0.000110    0.000648
     0.000073    0.000339
     0.000048    0.000061
     0.000034   -0.000190
     0.000031   -0.000419
     0.000037   -0.000631
     0.000053   -0.000830
     0.000078   -0.001021
     0.000110   -0.001210
     0.000150   -0.001400
     0.000197   -0.001596
     0.000250   -0.001797
     0.000311   -0.002002
     0.000379   -0.002210
     0.000454   -0.002419
     0.000536   -0.002629
     0.000626   -0.002837
     0.000723   -0.003043
     0.000828   -0.003246
     0.000941   -0.003444
     0.001063   -0.003638
     0.001192   -0.003827
     0.001329   -0.004013
     0.001476   -0.004197
     0.001639   -0.004383
     0.001817   -0.004572
     0.002002   -0.004757
     0.002182   -0.004929
     0.002354   -0.005087
     0.002554   -0.005258
     0.002824   -0.005477
     0.003199   -0.005766
     0.003675   -0.006115
     0.004240   -0.006500
     0.004905   -0.006912
     0.005786   -0.007395
     0.007019   -0.008002
     0.008757   -0.008778
     0.011200   -0.009727
     0.014560   -0.010840
     0.018976   -0.012095
     0.024294   -0.013416
     0.030280   -0.014710
     0.036754   -0.015906
     0.051230   -0.018040
     0.077180   -0.020820
     0.107850   -0.023060
     0.142910   -0.024810
     0.181940   -0.026090
     0.224480   -0.026880
     0.270080   -0.027150
     0.318290   -0.026910
     0.368640   -0.026230
     0.420550   -0.025170
     0.473450   -0.023810
     0.526750   -0.022190
     0.579830   -0.020390
     0.632090   -0.018460
     0.682920   -0.016450
     0.731730   -0.014430
     0.777920   -0.012430
     0.820950   -0.010490
     0.860300   -0.008650
     0.895470   -0.006910
     0.926030   -0.005270
     0.951630   -0.003670
     0.972110   -0.002120
     0.987300   -0.000880
     0.996780   -0.000190
     1.000000    0.000000
